objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_r,class,subClass
1237662264310104066,199.47402,10.219562,19.16847,18.92551,18.99419,19.11804,19.06123,0.05327676,QSO,BROADLINE
1237674471143637103,199.45802,10.001258,19.37802,19.11102,19.09267,18.86952,18.97731,0.05537332,QSO,BROADLINE
1237662263773364354,199.77806,9.8097774,19.21614,19.1557,19.02752,19.12111,19.27582,0.05372969,QSO,BROADLINE
1237671990265380869,202.30573,6.0042958,18.02168,18.09912,18.51665,18.81751,19.11997,0.07529517,STAR,WD
1237671990265249893,202.22576,6.1978427,17.89072,17.81353,17.58028,17.48547,17.54079,0.07383395,QSO,BROADLINE
1237671990265315577,202.27704,6.0531805,19.24085,18.98483,19.02259,18.87329,18.68719,0.07499613,QSO,BROADLINE
1237661416597422158,195.35755,56.385673,18.92134,18.82009,18.66748,18.71607,18.67253,0.04137864,QSO,BROADLINE
1237661387063427107,195.81639,56.901233,18.53887,18.34652,18.34604,18.15726,18.12935,0.03562648,QSO,BROADLINE
1237661387063427164,195.73547,56.923017,19.42814,19.17898,19.48031,19.74501,19.90031,0.03284469,STAR,WD
1237661387063230478,194.92873,57.04117,19.1652,18.93878,19.10708,19.02993,18.81118,0.02779209,QSO,BROADLINE
1237661416597291040,194.78893,56.338867,18.6659,18.50324,18.4856,18.41527,18.38049,0.03733379,QSO,BROADLINE
1237661416597291129,194.86485,56.426772,19.2076,19.19422,18.98493,18.99889,19.11748,0.03149319,QSO,BROADLINE
1237661417133899822,193.89633,56.877676,19.16922,19.17167,19.1411,18.93463,18.95446,0.02650382,QSO,BROADLINE
1237661416597291034,194.77391,56.406805,18.7012,18.66599,18.65341,18.41379,18.31401,0.03455908,QSO,BROADLINE
1237658919068958859,193.8227,55.786036,19.0684,18.83138,18.7915,18.82076,18.73437,0.03322446,QSO,BROADLINE
1237661387599642731,193.23984,57.502373,19.21072,18.9649,18.82555,18.91413,18.86823,0.02768851,QSO,BROADLINE
1237661418207510543,193.37101,57.648833,19.19316,19.15015,18.92332,18.77197,18.88539,0.02373176,QSO,BROADLINE
1237661388673777698,195.07182,58.265514,18.31432,18.27289,18.10288,18.01628,18.08887,0.03537088,QSO,BROADLINE
1237661417670967298,194.60001,57.17772,18.00867,17.93052,17.68681,17.62527,17.68959,0.03694703,QSO,BROADLINE
1237661387600101390,195.13969,57.476395,18.53239,18.56489,18.54189,18.55799,17.99424,0.03168974,QSO,BROADLINE
1237661418208165931,196.24434,57.587625,19.03367,18.81916,18.75397,18.51909,18.52955,0.03973,QSO,BROADLINE
1237661388137300093,196.55549,57.738154,19.18535,19.06285,19.03563,19.07005,19.0171,0.03345391,QSO,BROADLINE
1237661388674105387,196.50783,58.055535,17.41046,17.29358,17.34486,17.29707,17.18649,0.02585215,QSO,BROADLINE
1237661416598470858,199.58718,55.841955,19.13503,19.12886,18.76117,18.4391,18.35654,0.05123219,QSO,STARBURST BROADLINE
1237661417135538253,200.6133,56.142035,19.29931,19.10274,19.17848,19.14029,19.05448,0.03642147,QSO,BROADLINE
1237661417135538207,200.41201,56.11835,18.79402,18.87339,19.26615,19.59268,19.87816,0.03773096,STAR,WD
1237661416598274078,198.74335,56.061813,18.68,18.69305,18.75266,18.52054,18.49213,0.03843895,QSO,BROADLINE
1237661416061206613,197.90781,55.675271,19.19773,19.0598,18.87927,18.94495,18.89944,0.04160926,QSO,BROADLINE
1237661385990275194,197.93851,55.807475,19.26097,19.12772,19.13866,19.1815,19.09898,0.04343095,QSO,BROADLINE
1237661385990340670,198.2852,55.815651,19.01459,18.7818,18.65488,18.40253,18.48344,0.03981379,QSO,BROADLINE
1237659931606515970,5.752067,36.597424,18.77269,18.62052,18.42825,18.26949,18.08968,0.1893814,QSO,BROADLINE
1237659930538280122,17.120638,45.931896,19.37843,19.08588,19.1053,19.16673,19.16127,0.2869036,QSO,BROADLINE
1237659932149416099,16.978473,47.535595,18.5983,18.39125,18.20847,18.12904,17.88917,0.3490552,QSO,STARBURST BROADLINE
1237659936444121466,16.5618,47.000974,18.7706,18.64037,18.37601,18.0645,18.0111,0.3626845,QSO,BROADLINE
1237664291546595343,202.81516,14.980478,18.6442,18.63344,18.44874,18.14279,18.10202,0.05669267,QSO,STARBURST BROADLINE
1237662529525121051,204.43754,13.910835,18.96591,18.96823,18.92081,18.85776,18.25224,0.07878663,QSO,BROADLINE
1237664290473377808,203.9946,14.09334,18.84533,18.75695,18.72128,18.50415,18.53749,0.08697189,QSO,BROADLINE
