objid,name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g,distance
1237655503499100184,SDSS J171155.01+324711.94,257.9792,32.78665,18.24,0.02,DA,69636,2337,7.837,0.00344008874773745
1237658205028548747,SDSS J082857.94+324855.12,127.2414,32.81531,18.7,0.02,DA,31078,167,8.02,0.00265580326566845
1237671936582156928,SDSS J172216.92+324953.76,260.5705,32.8316,18.98,0.02,DA+M4,22037,513,7.93,0.000887600976289717
1237658205565223026,SDSS J082611.69+325000.16,126.5487,32.83338,18.43,0.01,DA,6453,453,7.647,0.000259001000533334
1237661386008690738,SDSS J163730.76+325028.60,249.3782,32.84128,18.39,0.01,DC,6100,1000,9,0.0233933272968039
1237665024375586848,SDSS J134025.00+325028.61,205.1042,32.84128,18.57,0.02,DAH:,27258,265,7.99,0.00302693601972282
1237674289144463440,SDSS J074843.88+325348.62,117.1828,32.89684,18.2,0.01,He-sdO,48000,400,7,0.000762776638374823
1237664878880555020,SDSS J101240.56+325607.03,153.169,32.93529,18.69,0.01,DQ,7753,33,8,0.000347837751473015
1237657607495483579,SDSS J080006.18+325738.09,120.0257,32.96058,18.14,0.02,DA,15071,167,8.502,0.00544457633790754
1237662306195013673,SDSS J151542.14+325752.01,228.9256,32.96445,18.08,0.01,DH,11852,1000,9,0.00564757298966952
1237662503221067867,SDSS J160415.95+325933.72,241.0665,32.9927,18.4,0.02,DA,21527,238,8.042,0.00260249061903943
1237665330926846041,SDSS J122801.59+330035.57,187.0066,33.00988,18.89,0.01,DC:,6159,500,4.428,0.00049825683070321
1237655501887963483,SDSS J170356.78+330435.82,255.9866,33.07662,18.13,0.01,DA,10727,20,8.456,0.000865948590500831
1237655472898375862,SDSS J165847.47+330554.20,254.6978,33.09839,18.9,0.02,DA,23802,271,7.878,0.000853685020802759
1237665128013955106,SDSS J133543.00+330558.38,203.9292,33.09955,18.16,0.01,He-sdO,48092,459,7.01,0.00116509461006651
1237665025450311739,SDSS J135155.60+330847.29,207.9817,33.14647,18.73,0.02,DA,22098,188,8.218,0.00487697782638326
1237662225155293259,SDSS J145746.31+330944.95,224.443,33.16249,18.9,0.01,DBA,22500,2000,7.97,0.00260908878011145
1237659324958834855,SDSS J164812.58+331154.17,252.0524,33.19838,18.47,0.02,DA,19233,152,8.114,0.00193207607256253
1237674366992121934,SDSS J074410.23+331155.75,116.0426,33.19882,18.9,0.01,DA,14305,224,9.003,0.00103747896883097
1237665126928678952,SDSS J112906.30+331431.02,172.2762,33.24195,18.66,0.03,DA,44246,699,8.018,9.69281374068413E-05
1237661850412384320,SDSS J153024.23+331549.72,232.601,33.26381,18.74,0.01,DBA,32400,550,7.947,0.000817004415101923
1237665569301397687,SDSS J171959.46+331614.52,259.9977,33.2707,16.94,0.01,DAH:,28315,223,7.96,0.00591179269838234
1237665129626796166,SDSS J140031.74+331841.58,210.1322,33.31155,18.59,0.02,DAZ,6438,37,5.823,0.000597121915887643
1237665569301397565,SDSS J171942.34+331925.69,259.9264,33.3238,18.76,0.01,DC,9772,1000,9,0.00404832335230751
1237664878344667158,SDSS J102353.86+331939.91,155.9744,33.32775,17.9,0.01,DC:,10043,190,7.152,0.000367411161853658
