#name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g
SDSS J093045.08-010326.64,142.68783,-1.0574,18.95, 0.02,DA, 19323,  197, 8.105
SDSS J000607.89-010321.20,1.53287,-1.05589,17.48, 0.03,He-sdO, 49412,   48, 7.000
SDSS J214048.61-010207.69,325.20254,-1.03547,18.68, 0.03,DAO, 26695, 2390, 5.590
SDSS J142120.94-010054.68,215.33725,-1.01519,16.82, 0.02,DA, 50793,  492, 8.149
SDSS J105549.60-010025.88,163.95667,-1.00719,18.43, 0.02,DA, 17414,  119, 7.861
SDSS J125834.93-005948.47,194.64554,-0.9968,18.61, 0.01,DA, 10513,   11, 8.087
SDSS J141556.68-005815.02,213.98617,-0.97084,18.37, 0.02,He-sdB, 38739,  476, 5.000
SDSS J132924.70-005644.70,202.35292,-0.94575,16.18, 0.02,DA, 20217,   54, 8.037
SDSS J113307.61-005616.37,173.28171,-0.93788,17.9, 0.02,DAZ,  8277,   24, 5.570
SDSS J145648.83-005613.42,224.20346,-0.93706,17.34, 0.02,DAZ,  8690,   14, 5.137
SDSS J143906.08-005102.56,219.77533,-0.85071,18.27, 0.01,DA, 19703,  156, 8.060
SDSS J211924.57-004955.56,319.85237,-0.8321,18.59, 0.01,DAO, 37612,  477, 5.640
SDSS J213229.41-004831.43,323.12254,-0.80873,17.05, 0.02,sdB, 29032,  151, 5.000
SDSS J222932.81-004822.68,337.38671,-0.8063,16.21, 0.02,DAO/sdO, 34711,  837, 5.230
SDSS J213303.28-004711.00,323.26367,-0.78639,17.77, 0.01,sdB, 23486,  263, 5.000
SDSS J220602.42-004632.92,331.51008,-0.77581,15.85, 0.02,DA, 19001,   48, 8.095
SDSS J150657.27-004610.59,226.73863,-0.76961,18.67, 0.01,DBA, 14251,  100, 8.298
SDSS J213528.69-004538.02,323.86954,-0.76056,17.54, 0.01,DABZ,  7195,   14, 5.409
SDSS J211045.17+000142.02,317.68821,0.02834,16.82, 0.01,DAO, 34807,  240, 5.000
SDSS J213355.34-004512.53,323.48058,-0.75348,17.79, 0.01,sdB, 25442,  231, 5.000
SDSS J142131.20-004422.56,215.38,-0.7396,16.41, 0.02,DA, 15931,   61, 8.133
SDSS J085221.26-004253.32,133.08858,-0.71481,17, 0.01,DA, 18826,   63, 7.929
SDSS J120558.25-004217.02,181.49271,-0.70473,18.97, 0.01,DC, 10124, 1000, 9.000
SDSS J213054.60-004117.45,322.7275,-0.68818,17.87, 0.02,He-sdB, 45818,   42, 7.000
SDSS J151642.97-004042.71,229.17904,-0.67853,17.21, 0.02,DBAZ, 15264,   50, 8.212
SDSS J111438.58-004024.38,168.66075,-0.67344,18.17, 0.02,He-sdO, 44133, 1237, 5.060
SDSS J100842.58-003939.85,152.17742,-0.66107,18.78, 0.02,DA,  6655,   55, 8.840
SDSS J125941.88-003928.80,194.9245,-0.658,16.8, 0.02,sdO, 31899,   81, 5.000
SDSS J124706.79-003925.81,191.77829,-0.65717,16.18, 0.02,A/sdB, 43174,  327, 5.857
SDSS J000426.62-003826.23,1.11092,-0.64062,16.45, 0.02,sdO, 41000, 5000, 6.250
SDSS J213128.85-003823.10,322.87021,-0.63975,17.63, 0.02,DAB, 27141,  219, 5.000
SDSS J111249.32-003815.00,168.2055,-0.6375,17.95, 0.02,DA+M4, 11433,   68, 8.550
SDSS J151317.27-003523.06,228.32196,-0.58974,17.19, 0.01,DBA, 15149,    5, 8.546
SDSS J134922.54-003503.62,207.34392,-0.58434,16.95, 0.02,DA, 16162,   58, 7.630
SDSS J144840.19-003454.08,222.16746,-0.58169,18.1, 0.01,DA, 21520,  165, 8.046
SDSS J100019.98-003413.44,150.08325,-0.5704,17.51, 0.01,DAO/sdO, 70588, 2570, 5.730
SDSS J135622.14-003345.90,209.09225,-0.56275,18.05, 0.02,DA, 18874,  129, 8.009
SDSS J101240.61-003334.38,153.16921,-0.55955,18.38, 0.02,DA, 73311, 2371, 8.144
SDSS J211651.96-003328.58,319.2165,-0.55794,17.72, 0.02,sdB, 29970,  164, 5.441
SDSS J213407.87-003311.34,323.53279,-0.55315,18.91, 0.02,DA, 18859,  228, 7.448
SDSS J111629.72-003234.44,169.12383,-0.5429,18.39, 0.01,DC,  9802, 1000, 6.876
SDSS J213516.29-003149.08,323.81788,-0.5303,18.82, 0.01,DA, 40840,  607, 7.803
SDSS J222203.33-003138.10,335.51387,-0.52725,17.36, 0.02,DA, 98678, 2381, 7.964
SDSS J103729.48-003111.17,159.37283,-0.51977,17.2, 0.00,DB, 16000,  100, 8.008
SDSS J111039.34-003040.39,167.66392,-0.51122,16.84, 0.02,DA, 15468,   67, 8.200
SDSS J230123.28-003037.33,345.347,-0.51037,19, 0.02,DA, 18260,  211, 8.255
SDSS J023503.67-002911.58,38.76529,-0.48655,18.1, 0.02,DA, 15862,  141, 8.183
SDSS J012102.29-002812.14,20.25954,-0.47004,18.58, 0.04,DA, 10447,   29, 8.417
SDSS J225236.37-002800.52,343.15154,-0.46681,18.58, 0.02,ELM-DA,  8575,  142, 5.948
SDSS J212022.64-002407.96,320.09433,-0.40221,18.52, 0.02,DAB, 30036,  251, 5.460
SDSS J132352.84-002346.50,200.97017,-0.39625,18.94, 0.03,DA, 19154,  175, 7.584
SDSS J102448.83-002312.59,156.20346,-0.38683,17.08, 0.01,DAZ:, 10942,  442, 9.660
SDSS J085307.37-002203.97,133.28071,-0.36777,18.67, 0.01,DAB, 33466,  244, 8.540
SDSS J152102.06-002149.57,230.25858,-0.36377,16.58, 0.01,DA, 30345,   53, 8.050
SDSS J100621.07-002049.99,151.58779,-0.34722,17.3, 0.02,DAO, 34592,  190, 5.540
SDSS J110853.99-002041.78,167.22496,-0.34494,16.98, 0.02,DA+M2, 24726,  230, 7.970
SDSS J104050.87-002006.47,160.21196,-0.33513,18.76, 0.01,DA, 27508,  207, 7.931
SDSS J124847.81-001846.03,192.19921,-0.31279,18.97, 0.01,DB, 20500, 1000, 7.863
SDSS J232404.72-001813.25,351.01967,-0.30368,18.84, 0.02,DAB,  8231,   39, 9.430
SDSS J133040.91-001710.75,202.67046,-0.28632,15.82, 0.02,DAB, 30090,  162, 5.620
SDSS J022508.36-001624.64,36.28483,-0.27351,18.84, 0.01,DC, 10400, 1000, 8.000
SDSS J152746.24-001437.72,231.94267,-0.24381,18.97, 0.02,DABZ,  7097,   26, 5.344
SDSS J101355.60-001306.64,153.48167,-0.21851,18.42, 0.02,DO,100000, 9000, 8.460
SDSS J135358.58-001217.24,208.49408,-0.20479,19, 1.00,DA, 19866,  219, 8.070
SDSS J005904.58-001209.93,14.76908,-0.20276,18.41, 0.01,DB:, 36034, 2549, 7.034
SDSS J223114.41-001150.35,337.81004,-0.19732,17.07, 0.02,DAO,100000,  397, 7.920
SDSS J213940.91-001028.96,324.92046,-0.17471,17.29, 0.01,sdB, 33311,  220, 5.000
SDSS J230202.50-000930.02,345.51042,-0.15834,17.68, 0.13,DA+M3, 19416,  165, 8.020
